C0,k_base,DOC,pH,Concentration,Critical_Distance
645.7426711094179,0.2610312081253712,7.3418072089666095,7.823098700643552,2.005103292228651e-07,9.321873121760222
508.69927101250016,0.24410023480522985,9.297296147713752,7.9199046695385205,5.835971067601519e-08,8.395252459122295
638.4208701015931,0.3865905605680682,8.29223330513801,8.046301480286527,6.164965976497619e-13,5.8863130598724425
582.9642317421306,0.30118575551971793,7.816779281760145,8.298469544119849,1.6959703860797578e-09,7.4903862147544915
593.1178996736804,0.3628710694066449,8.225297225701343,8.491590746744594,2.6199271353478506e-12,6.045741728565044
535.5779638074684,0.23372601498841916,9.191342984507504,7.41663064115592,3.0842336373414466e-07,9.152898359843052
677.8765384624077,0.3583874799894551,8.108195539828634,7.347483443690405,3.211223246795193e-11,6.730934682449472
705.7006340016147,0.3130958734495079,7.0035388348720495,8.3127700774292,2.4859312326336577e-09,7.906981710527085
590.3551443834411,0.3503542773890255,7.003026063228121,7.7810981090096,1.9244713377896396e-10,6.942077192133205
625.1587036848558,0.33198991966701635,7.939619568689946,8.250079299678921,1.053920794945154e-10,6.883812277849911
539.7700813376402,0.39878229318243996,6.023884715339755,7.809420980752486,2.087062953853065e-11,6.317839396645517
596.4003656712309,0.2577160428409878,5.7882516255273675,7.546251644215507,2.1990119433223353e-06,10.305036448451235
496.50976774103975,0.3343747635768821,8.133642652525525,7.619558007011443,1.2148750429924124e-10,6.575407172525127
